,entrezgene,symbol
311,56649,TMPRSS4
312,5327,PLAT
313,7113,TMPRSS2
314,283471,TMPRSS12
315,2147,F2
316,129293,TRABD2A
317,7092,TLL1
318,7093,TLL2
319,132724,TMPRSS11B
320,389208,TMPRSS11F
321,339967,TMPRSS11A
322,28983,TMPRSS11E
323,344805,TMPRSS7
324,360200,TMPRSS9
325,,
326,124975,GGT6
327,2678,GGT1
328,8836,GGH
329,2687,GGT5
330,1991,ELANE
331,2158,F9
332,9986,RCE1
333,10269,ZMPSTE24
334,9700,ESPL1
335,64167,ERAP2
336,79956,ERMP1
337,8665,EIF3F
338,51029,DESI2
339,2346,FOLH1
340,219595,FOLH1B
341,3026,HABP2
342,2159,F10
343,2155,F7
344,2160,F11
345,2161,F12
346,91039,DPP9
347,51752,ERAP1
348,29952,DPP7
349,10072,DPP3
350,1800,DPEP1
351,23549,DNPEP
352,64180,DPEP3
353,64174,DPEP2
354,5651,TMPRSS15
355,91419,ATP23
356,55554,KLK15
357,84182,MINDY4
358,,
359,55793,MINDY1
360,89782,LMLN
361,9361,LONP1
362,3817,KLK2
363,354,KLK3
364,284366,KLK9
365,5641,LGMN
366,5650,KLK7
367,339855,KY
368,4321,MMP12
369,4314,MMP3
370,8510,MMP23B
371,56547,MMP26
372,10747,MASP2
373,23173,METAP1
374,4225,MEP1B
375,51360,MBTPS2
376,8720,MBTPS1
377,4319,MMP10
378,4320,MMP11
379,4322,MMP13
380,4316,MMP7
381,4313,MMP2
382,4323,MMP14
383,10988,METAP2
384,83752,LONP2
385,10892,MALT1
386,254042,METAP1D
387,54629,MINDY2
388,80013,MINDY3
389,4285,MIPEP
390,4326,MMP17
391,9476,NAPSA
392,10004,NAALADL1
393,79716,NPEPL1
394,10003,NAALAD2
395,4224,MEP1A
396,4318,MMP9
397,79258,MMEL1
398,4317,MMP8
399,5648,MASP1
400,4327,MMP19
401,9313,MMP20
402,79148,MMP28
403,10893,MMP24
404,4324,MMP15
405,4325,MMP16
406,64066,MMP27
407,4312,MMP1
408,118856,MMP21
409,64386,MMP25
410,745,MYRF
411,114803,MYSM1
412,23203,PMPCA
413,9512,PMPCB
414,84954,MPND
415,5122,PCSK1
416,4311,MME
417,59342,SCPEP1
418,339105,PRSS53
419,5652,PRSS8
420,5685,PSMA4
421,377047,PRSS45
422,,
423,5682,PSMA1
424,83886,PRSS27
425,260429,PRSS33
426,11098,PRSS23
427,5696,PSMB8
428,57140,RNPEPL1
429,10730,YME1L1
430,221302,ZUP1
431,54764,ZRANB1
432,145814,PGPEP1L
433,5251,PHEX
434,54858,PGPEP1
435,4898,NRDC
436,57486,NLN
437,5045,FURIN
438,414301,DDI1
439,27351,DESI1
440,54504,CPVL
441,440387,CTRB2
442,10699,CORIN
443,22802,CLCA4
444,5184,PEPD
445,643834,PGA3
446,5222,PGA5
447,5225,PGC
448,5046,PCSK6
449,9159,PCSK7
450,643847,PGA4
451,54760,PCSK4
452,,
453,78990,OTUB2
454,55486,PARL
455,51633,OTUD6B
456,161725,OTUD7A
457,56957,OTUD7B
458,55611,OTUB1
459,60676,PAPPA2
460,5547,PRCP
461,139562,OTUD6A
462,54726,OTUD4
463,341277,OVCH2
464,5125,PCSK5
465,255738,PCSK9
466,5069,PAPPA
467,55432,YOD1
468,90268,OTULIN
469,220213,OTUD1
470,55593,OTUD5
471,23252,OTUD3
472,146547,PRSS36
473,,
474,5340,PLG
475,115209,OMA1
476,4928,NUP98
477,5550,PREP
478,9581,PREPL
479,5476,CTSA
480,10531,PITRM1
481,5683,PSMA2
482,5624,PROC
483,5688,PSMA7
484,5689,PSMB1
485,,
486,5691,PSMB3
487,5693,PSMB5
488,,
489,400668,PRSS57
490,339501,PRSS38
491,,
492,5686,PSMA5
493,5687,PSMA6
494,5699,PSMB10
495,9520,NPEPPS
496,5692,PSMB4
497,5657,PRTN3
498,5698,PSMB9
499,,PRSS41
500,5684,PSMA3
501,203074,PRSS55
502,136541,PRSS58
503,5690,PSMB2
504,143471,PSMA8
505,,
506,49,ACR
507,8751,ADAM15
508,6868,ADAM17
509,327,APEH
510,10863,ADAM28
511,84909,C9orf3
512,51321,AMZ2
513,6051,RNPEP
514,,
515,290,ANPEP
516,2028,ENPEP
517,102,ADAM10
518,1636,ACE
519,8754,ADAM9
520,27299,ADAMDEC1
521,8728,ADAM19
522,101,ADAM8
523,8748,ADAM20
